path,foundType,descriptiveType,unique,default,description,choices,regex
$,RootNode,None,N/A,N/A,None,N/A,N/A
$.Activity,dict,None,None,None,None,None,None
$.Activity.Favorite Effects,dict,None,None,None,None,None,None
$.Activity.Favorite Hashtags,dict,None,None,None,None,None,None
$.Activity.Favorite Hashtags.FavoriteHashtagList,NoneType,None,None,None,None,None,None
$.Activity.Favorite Sounds,dict,None,None,None,None,None,None
$.Activity.Favorite Sounds.FavoriteSoundList,NoneType,None,None,None,None,None,None
$.Activity.Favorite Videos,dict,None,None,None,None,None,None
$.Activity.Favorite Videos.FavoriteVideoList,NoneType,None,None,None,None,None,None
$.Activity.Follower List,dict,None,None,None,None,None,None
$.Activity.Follower List.FansList,list,None,None,None,None,None,None
$.Activity.Follower List.FansList[*],dict,None,None,None,None,None,None
$.Activity.Follower List.FansList[*].Date,str,https://schema.org/DateTime,None,None,Datetime in ?YYYY-MM-DD hh:mm:ss? format  ,None,[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}
$.Activity.Follower List.FansList[*].UserName,str,https://www.wikidata.org/wiki/Property:P7085,None,None,Tiktok usename without ?@?,None,None
$.Activity.Following List,dict,None,None,None,None,None,None
$.Activity.Following List.Following,list,None,None,None,None,None,None
$.Activity.Following List.Following[*],dict,None,None,None,None,None,None
$.Activity.Following List.Following[*].Date,str,https://schema.org/DateTime,None,None,Datetime in ?YYYY-MM-DD hh:mm:ss? format  ,None,[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}
$.Activity.Following List.Following[*].UserName,str,https://www.wikidata.org/wiki/Property:P7085,None,None,Tiktok usename without ?@?,None,None
$.Activity.Hashtag,dict,None,None,None,None,None,None
$.Activity.Like List,dict,None,None,None,None,None,None
$.Activity.Like List.ItemFavoriteList,list,None,None,None,None,None,None
$.Activity.Like List.ItemFavoriteList[*],dict,None,None,None,None,None,None
$.Activity.Like List.ItemFavoriteList[*].Date,str,https://schema.org/DateTime,None,None,Datetime in ?YYYY-MM-DD hh:mm:ss? format  ,None,[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}
$.Activity.Like List.ItemFavoriteList[*].VideoLink,str,https://schema.org/url,None,None,None,None,None
$.Activity.Login History,dict,None,None,None,None,None,None
$.Activity.Login History.LoginHistoryList,list,None,None,None,None,None,None
$.Activity.Login History.LoginHistoryList[*],dict,None,None,None,None,None,None
$.Activity.Login History.LoginHistoryList[*].Date,str,https://schema.org/DateTime,None,None,Datetime in ?YYYY-MM-DD hh:mm:ss? format  ,None,[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}
$.Activity.Login History.LoginHistoryList[*].IP,str,https://www.wikidata.org/wiki/Q11135,None,None,IP address (Ipv4 observed),None,None
$.Activity.Login History.LoginHistoryList[*].DeviceModel,str,https://www.wikidata.org/wiki/Q62008942,None,None,electronic device model,None,None
$.Activity.Login History.LoginHistoryList[*].DeviceSystem,str,https://www.wikidata.org/wiki/Q20826013,None,None,Version of the Operating System,None,None
$.Activity.Login History.LoginHistoryList[*].NetworkType,str,https://www.wikidata.org/wiki/Q1301371,None,None,Computer network,"""Wi-Fi"", """", ""mobile""",None
$.Activity.Login History.LoginHistoryList[*].Carrier,str,https://www.wikidata.org/wiki/Q11371,None,None,Internet Service Provider or Telecom operator,None,None
$.Activity.Purchase History,dict,None,None,None,None,None,None
$.Activity.Search History,dict,None,None,None,None,None,None
$.Activity.Search History.SearchList,list,None,None,None,None,None,None
$.Activity.Search History.SearchList[*],dict,None,None,None,None,None,None
$.Activity.Search History.SearchList[*].Date,str,https://schema.org/DateTime,None,None,Datetime in ?YYYY-MM-DD hh:mm:ss? format  ,None,[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}
$.Activity.Search History.SearchList[*].SearchTerm,str,https://schema.org/query,None,None,None,None,None
$.Activity.Share History,dict,None,None,None,None,None,None
$.Activity.Share History.ShareHistoryList,list,None,None,None,None,None,None
$.Activity.Share History.ShareHistoryList[*],dict,None,None,None,None,None,None
$.Activity.Share History.ShareHistoryList[*].Date,str,https://schema.org/DateTime,None,None,Datetime in ?YYYY-MM-DD hh:mm:ss? format  ,None,[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}
$.Activity.Share History.ShareHistoryList[*].SharedContent,str,TODO,None,None,"""video""",None,None
$.Activity.Share History.ShareHistoryList[*].Link,str,https://schema.org/url,None,None,None,None,None
$.Activity.Share History.ShareHistoryList[*].Method,str,TODO,None,None,Way of sharing material,"""chat_head"", ""copy"", ""more""",None
$.Activity.Status,dict,None,None,None,None,None,None
$.Activity.Status.Status List,list,None,None,None,None,None,None
$.Activity.Status.Status List[*],dict,None,None,None,None,None,None
$.Activity.Status.Status List[*].Resolution,str,https://www.wikidata.org/wiki/Q210521,None,None,image resolution,None,None
$.Activity.Status.Status List[*].App Version,str,https://www.wikidata.org/wiki/Q20826013,None,None,software version,None,None
$.Activity.Status.Status List[*].IDFA,str,https://www.wikidata.org/wiki/Q102046346,None,None,Identifier for Advertisers,None,None
$.Activity.Status.Status List[*].GAID,str,https://www.wikidata.org/wiki/Q113438412,None,None,Google Ads ID,None,None
$.Activity.Status.Status List[*].Android ID,str,https://www.wikidata.org/wiki/Q48791487,None,None,Andoid ID,None,None
$.Activity.Status.Status List[*].IDFV,str,https://www.wikidata.org/wiki/Q113438557,None,None,Identifier for Vendors,None,None
$.Activity.Status.Status List[*].Web ID,str,https://schema.org/identifier,None,None,None,None,None
$.Activity.Video Browsing History,dict,None,None,None,None,None,None
$.Activity.Video Browsing History.VideoList,list,None,None,None,None,None,None
$.Activity.Video Browsing History.VideoList[*],dict,None,None,None,None,None,None
$.Activity.Video Browsing History.VideoList[*].Date,str,https://schema.org/DateTime,None,None,Datetime in ?YYYY-MM-DD hh:mm:ss? format  ,None,[0-9]{4}-[0-9]{2}-[0-9]{2} [0-9]{2}:[0-9]{2}:[0-9]{2}
$.Activity.Video Browsing History.VideoList[*].VideoLink,str,https://schema.org/url,None,None,None,None,None
$.Ads and data,dict,None,None,None,None,None,None
$.Ads and data.Ad Interests,dict,None,None,None,None,None,None
$.Ads and data.Ad Interests.AdInterestCategories,str,None,None,None,None,None,None
$.Ads and data.Ads Based On Data Received From Partners,dict,None,None,None,None,None,None
$.Ads and data.Ads Based On Data Received From Partners.DataPartnerList,str,None,None,None,no observable data available yet,None,None
$.Ads and data.Ads Based On Data Received From Partners.AdvertiserList,str,None,None,None,no observable data available yet,None,None
$.Ads and data.Usage Data From Third-Party Apps And Websites,dict,None,None,None,None,None,None
$.App Settings,dict,None,None,None,None,None,None
$.App Settings.Block,dict,None,None,None,None,None,None
$.App Settings.Block.BlockList,list,None,None,None,None,None,None
