path,foundType,descriptiveType,unique,default,description,choices,regex
data/account-creation-ip.js:$,RootNode,N/A,N/A,N/A,None,N/A,N/A
data/account-creation-ip.js:$[*],dict,N/A,None,None,None,None,None
data/account-creation-ip.js:$[*].accountCreationIp,dict,N/A,None,None,None,None,None
data/account-creation-ip.js:$[*].accountCreationIp.accountId,str,https://www.wikidata.org/wiki/Property:P6552,True,None,Unique numeric identifier for the account.,None,None
data/account-creation-ip.js:$[*].accountCreationIp.userCreationIp,str,https://www.wikidata.org/wiki/Q11135,None,None,IP address at account creation.,None,None
data/account-suspension.js:$,RootNode,N/A,N/A,N/A,None,N/A,N/A
data/account-timezone.js:$,RootNode,N/A,N/A,N/A,None,N/A,N/A
data/account-timezone.js:$[*],dict,N/A,None,None,None,None,None
data/account-timezone.js:$[*].accountTimezone,dict,N/A,None,None,None,None,None
data/account-timezone.js:$[*].accountTimezone.accountId,str,https://www.wikidata.org/wiki/Property:P6552,True,None,Unique numeric identifier for the account.,None,None
data/account-timezone.js:$[*].accountTimezone.timeZone,str,https://www.wikidata.org/wiki/Q12143,None,None,Timezone currently associated with the account.,None,None
data/account.js:$,RootNode,N/A,N/A,N/A,None,N/A,N/A
data/account.js:$[*],dict,N/A,None,None,None,None,None
data/account.js:$[*].account,dict,N/A,None,None,None,None,None
data/account.js:$[*].account.email,str,https://www.wikidata.org/wiki/Q1273217,None,None,Email address currently associated with the account if an email address has been provided.,None,None
data/account.js:$[*].account.createdVia,str,https://www.wikidata.org/wiki/Q166142,None,None,Client application used when the account was created. For example: ???web?? if the  account was created from a browser.,None,None
data/account.js:$[*].account.username,str,https://www.wikidata.org/wiki/Q53311579,None,None,The account???s current @username. Note that the @username may change but the account ID will remain the same for the lifetime of the account.,None,None
data/account.js:$[*].account.accountId,str,https://www.wikidata.org/wiki/Property:P6552,None,None,Unique identifier for the account.,None,None
data/account.js:$[*].account.createdAt,str,https://schema.org/DateTime ,None,None,Date and time when the account was created.,None,"[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9]{2}:[0-9]{2}:[0-9]{2}(\.[0-9]{1,3})?Z "
data/account.js:$[*].account.accountDisplayName,str,https://www.wikidata.org/wiki/Q15901043,None,None,The account???s name as displayed on the profile.,None,None
data/ad-engagements.js:$,RootNode,N/A,N/A,N/A,None,N/A,N/A
data/ad-engagements.js:$[*],dict,N/A,None,None,None,None,None
data/ad-engagements.js:$[*].ad,dict,N/A,None,None,Promoted Tweets the account has engaged with and any associated metadata.,None,None
data/ad-engagements.js:$[*].ad.adsUserData,dict,N/A,None,None,None,None,None
